,name,ratings,no_of_ratings,discount_price,actual_price
105,"Philips Avent Advance Bottle sterilizer SCF291/00|| 10 mins Cycle, Natural steam Sterilization, Capacity Of 6 Baby Bottles",4.3,1686.0,4140.0,4995.0
106,"Pikipo Plush Soft Ball (Small Size, 11cm) and Kitty Face Soft Rattle Combo, Multicolor (Material: Polyester & Plush)",4.3,979.0,284.0,399.0
107,"Chicco Toothpaste, Strawberry Flavour for 1Y to 6Y Baby, Fluoride-Free, Preservative-Free,Cavity Protection (50g)",4.1,31.0,157.0,179.0
108,"Supples Baby Wet Wipes with lid Enriched with Aloe Vera, 72 Wipes/Pack (Pack of 4)",4.4,59138.0,289.0,596.0
109,ANTIL'S® Baby Carrier Bag/Adjustable Hands Free 4 in 1 Baby/Baby Safety Belt/Child Safety Strip/Baby Sling Carrier Bag/Bab...,3.7,2529.0,394.0,1499.0
110,"Luv Lap Baby & Mother Electric Nail Trimmer, Filer Cum Manicure Set, Ergonomic Design, Safe for Baby/Kid, Nail Filer and G...",3.6,524.0,579.0,825.0
111,"BabyGo Cushioned Potty Seat, Toilet Seat with Handle for Kids (Blue)",4.2,12918.0,314.0,545.0
112,"Mamaearth Vitamin C Day Cream For Face, with Vitamin C & SPF 20, for Skin Illumination - 50g",4.0,3182.0,556.0,599.0
113,"Pampers Premium Care Pants, Medium size baby Diapers, (M) 162 Count Softest ever Pampers Pants,",4.5,1459.0,2667.0,3597.0
114,"Boniry Push Pop it Bubble Fidget Toy, Stress Relief and Anti-Anxiety Tools Sensory Toy for Autism to Relieve Stress for Ki...",4.1,1706.0,149.0,699.0
115,"LuvLap Banana Time 210ml Anti Spill, Interchangeable Sipper / Sippy Cup with Soft Silicone Spout and Straw BPA Free, 6m+ (...",4.2,4509.0,239.0,315.0
116,"Babique Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (10 cm, Rattle Ball)",3.8,915.0,105.0,999.0
117,"Synlark Baby Head Protector, Adjustable Size Baby Learn to Walk Or Run Soft Safety Helmet, Infant Anti-Fall Anti-Collisio...",4.1,93.0,299.0,699.0
118,"MamyPoko Tape Diapers for Babies, New Born mini, Pack of 30",4.3,155343.0,569.0,600.0
119,"Oral B Vitality Criss Cross Electric Rechargeable Toothbrush with Travel Case, with replaceable brush head included (White...",4.1,6870.0,1740.0,1999.0
120,"Colgate Kids Barbie Manual Toothbrush,Multicolor,1 Piece",4.4,1121.0,63.0,79.0
121,DearJoy Big Fibre Filled Baby Pillow and Stuffed Animal Elephant Soft Toy of Plush Hugging Pillow Material for Kids Boy/Gi...,4.3,3983.0,585.0,2000.0
