name,ratings,no_of_ratings,discount_price,actual_price
"Little's Baby Pants Diapers Medium (M), 7-12 kg, 128 Count with Wetness Indicator and 12 Hours Absorption",4,"61,008","1,349","1,796"
R for Rabbit Large L Size Premium Feather Diaper for Baby 9 to 14 kgs (70 Pack Offer),4.2,"2,388","1,348","1,926"
"Decals Design 'Walking in The Garden Flower' Wall Sticker (PVC Vinyl, 70 cm x 25 cm), Multicolour",4.2,"11,334",129,664
Shalimar Baby Diaper Disposable / Nappy Bag Size 30.5 Cm X 40.5 Cm 6 Rolls (90 Bags),4.3,169,243,270
"Luvlap Anti-Colic Natura Flo Teat/Nipple for Wide Neck Bottle, 4pcs, Fast Flow, 6m+",4.2,"3,262",184,190
AMAZARA Baby Proofing Edge & Corner Guards | 6.5Ft Edge + 4 Pre-Taped Corner Protectors | Child Safety Furniture Cushions...,4.1,"3,537",316,599
KidDough Baby Proofing Extra Thick Safety Soft Cushion Edge Corner Protector Guard for Kids Safety - 10 pcs (Pre-Taped) (B...,4.2,"3,118",299,499
RSTER Silicon Corner Protector for Sharp Edges Table Corner Protector for Baby Bed Corners Edge Protector Child Safety Cor...,4.5,63,279,999
Cable World® Dancing Dog Toy with Music Flashing Lights(Multi Color),3.8,997,449,999
Amway NUTRILITE Fiber powedr (Pack of 200 gms powder),4.2,402,843,"1,095"
"The Moms Co. Virgin Coconut Natural 10-in-1 Baby Hair Oil with Argan, Marula, Avocado, Bhringraj and Organic Amla, 200 ml",4.3,929,334,495
DearJoy Baby Bedding Set / Baby Bedding Mattress Set with Mosquito Net / Baby Bed Set and Baby Play Gym with Mosquito Net...,3.9,"7,176",610,"2,000"
Mamaearth Charcoal Nourishing Soap With Charcoal and Mint for Deep Cleansing - 5x75g,4,"1,447",329,375
Himalaya Pure Hands | Hand Sanitizer - 500 ml (Lemon) (Packaging may vary),4.2,"5,715",245,250
SuperBottoms Dry Feel Langot - Pack of 6- Organic Cotton Padded Langot / Nappy with Gentle Elastics & a SuperDryFeel Layer...,4.1,678,799,"1,058"
"Olay Total Effects Day Cream with Vitamin C, B5, Niacinamide, Green Tea for Normal, Dry, Oily & Combination skin, 20 gm",4.2,"17,330",351,399
"Cetaphil Baby Mild Bar for Face and Body-Pack of 2, 75g*2",4.4,52,389,436
Huggies Nature Care Baby Wipes - Plant Based with Aloe Vera & Calendula (72 x 1 Count),4.2,"6,492",141,199
Mamaearth Argan Shampoo - 250 ml + Argan Conditioner - 250ml,3.9,437,572,698
"Classic Mosquito Net for Baby | Bottomless Net for Infants, for Safe & Easy Use | Ensures Your Baby's Safe Sleep |135cmX65...",4,144,799,"1,499"
Mamaearth Tan Removal Combo(Ubtan - Face Wash 100ml + Face Scrub 100g),4.2,"2,114",525,598
Sajani Flashing Plastic Magic Lattoo Top Toy // Toy with LED Lights Music Attractive Toy // Non-Toxic and Safe Spinning To...,5,20,249,299
"Philips Avent Comfort Manual Breast pump, Natural Motion technology, combines suction and nipple stimulation, soft cushion...",3.9,350,"1,395","2,195"
"Khamasi Hand Casting Kit | 3D Couple Casting Kit, casting kit for couples,molding powder for hand casting, Best gift for c...",4.4,386,"1,349","2,999"
"EASY SHOPE Baby Folding Mat Play Foam Crawl Waterproof Portable Kids Baby Toddler,Pack of 1,Multicolor",4.4,275,"1,849","3,999"
R for Rabbit Large L Size Premium Feather Diaper for Baby 9 to 14 kgs (92 Combo Pack Offer),4.2,"2,388","1,747","2,592"
"Giggles Funskool Digger The Dog, Pull Along Toy, Encourages Walking,Funny Walking Style, 12 Months & Above, Infant And Pla...",4.3,"3,610",608,699
IMTION® Duck Baby Bathing Rubber Squeaky Ducks Floating Play Water Pool Tub Toys Chu Chu Duck (Yellow) - 4 Pcs,3,2,74,200
eHomeKart Wave Plain Adjustable 3-in-1 Plastic Swing for Kids (Multicolour),4.3,"2,198","1,229","1,350"
CURATIO Tedibar Baby Bathing Bar -75 gm Each - Pack of 4,4.5,833,520,700
"Mylo Essentials Cloth diapers for babies with 2 Free Insert, Oeko Tex Certified for 3Months to 3Years, Pack of 2 (Blue & Red)",3.4,"2,603",559,898
"Huggies Complete Comfort Wonder Pants with Aloe Vera, Large (L) size baby diaper pants, 64 count",3.3,"2,515",851,"1,199"
"Sunuo Baby's Cotton Cloth Diapers/Langot Washable and Reusable Nappies (Multicolour, 0-6 Months) Pack of 10 Pieces (MULTI)",3.9,"5,361",299,799
"Sebamed Baby Cleansing Bar, 3.5-Ounce Boxes (Pack of 4)",4.5,273,955.44,"1,140"
"Novo Baby Monthly Milestone Blanket | 1 to 12 Months | Best for Newborn Boy & Girl, multicolor, Cotton, skin friendly",4.6,"1,798",749,989
"Little Angel Premier Pants Baby Diaper, Small (S) Size, 112 Count, Cottony Soft Material, Wetness Indicator, Breathable La...",3,3,994,"1,398"
Mee Mee Protective Baby Nail Clipper Cutter with Skin Guard (Green)(Pack of 1),4,"1,799",183,229
"Mother Sparsh Baby Laundry Liquid Detergent (Powered by Plants) with Bio - Enzymes and Eucalyptus Oil, Refill Pack (500ML ...",4.4,"1,872",437,599
"Pampers Premium Care Pants, Medium size baby Diapers, (M) 38 Count Softest ever Pampers Pants,",4.4,"10,830",726,749
"Mamypoko Standard Baby Diaper Pants, Medium (7 - 12 kg) 36 Count",4.2,"77,972",362,447
"Little's Baby Pants Diapers with Wetness Indicator and 12 Hours Absorption, Small (S), 4 - 8 kg, 168 Count",4,"61,008","1,295","1,716"
"Aveeno Baby Gentle Wash & Shampoo with Natural Oat Extract, Tear-Free &, Lightly Scented, 18 fl",4.4,211,"1,589","1,999"
"Huggies New Dry Medium (M) Size Diapers for Babies(5-12 Kg),Combo Pack of 2,60 Counts Per Pack (120 Counts)",3.9,"26,116","1,438","1,998"
"RYLAN Baby Kids Water Play Mat Toys Inflatable Tummy Time Leakproof Water Play Mat, Fun Activity Play Center Indoor and Ou...",4.1,"1,627",299,999
"JUSTLIST New Born Baby Infant Soft Cotton Mitten Sets with Cap and Booties (Set of 4, Availability Colour May Vary and Pri...",4,314,399,699
"Pigeon by Stovekraft Hard Anodised Pressure Cooker 3 Litre (14547) Induction Base, Inner Lid, Black, Aluminium",4.2,"1,733","1,195","2,549"
LuvLap CAPS Booties Mittens Set Helicopter Bear FACE Print PO2,4,"2,439",270.04,398
"First Trend Silicone Teether for Soothing Babies Gums (Multicolor,Pack of 1)",3.7,197,89,399
"Toyshine Sun and Moon Wooden Shape, Objects, Color Recognition Rolling Bead Maze Labyrinth Toy",4.2,179,675,"1,499"
Chinmay Kids 4-in-1 Adjustable Baby Carrier Cum Kangaroo Bag/Baby Carry Sling/Back/Front Carrier for Baby with Safety Belt...,3.8,"22,213",499,999
Supples Baby Diaper Pants L Pack of 3 Super Jumbo Box (2.5 kg - 12.0 kg) (186 Count),4,"1,27,863","1,769","3,147"
DearJoy Baby Safety Helmet also used as Baby Head Protector + Kneepads (Orange Helmet & Pink Kneepads),3.8,"6,696",475,"2,000"
