name,ratings,no_of_ratings,discount_price,actual_price
Loop Group ® Wooden Tabletop Makeup Mirror Vanity Table Stand Mirror Swivel Bamboo Mirror for Bedroom Bathroom Desk (Squar...,3.4,107,689,3600
Shri Kanth Art Multi Plate Wooden Wall Hanging | Wall Hanger for HomeDecor |Wall Art | Gifts | Office | Wooden Home Decor ...,4.7,5,197,599
CraftVatika Ganesh Idol Murti Statue for Car Dashboard Gift Lord Ganesha Ganpati Idols Showpiece Figurine for Home Pooja R...,4.4,133,339,599
"SN Handicrafts Stone Adiyogi Shiva Mahadev Murti for Car Dashboard, Pooja, Home and Office Decor - 5.35 inch (Matte Black,...",4.2,237,399,999
"Ikea Digital Multi Purpose ABS plastic Alarm Clock for Bedroom, Has Thermometer, Timer, Alarm (White)",4.1,77,550,611
VRB DecTM Artificial Greenery Ferns Plants Vines Fake Ivy Hanging Flowers Vine Pine Needle Wall Hanging for Home Decor Doo...,3.5,30,389,1249
"PUTHAK Plastic Mallow Vase for Flowers, Unbreakable Vase, 8.5x3.5Inch Ceramic Look Flower Vase, Decorative Modern Floral V...",4,1,176,599
"BUYERZONE WITH BZ LOGO BUYERZONE Smart Night Light Plastic Digital Alarm Clock with Date & Indoor Temperature, Battery Ope...",4.1,1707,449,999
"ArtX Paper Motivational Wall Frames Quotes Wall Art Painting, Framed Paintings For Home Office Decor, 20 X 20 inches (Comb...",4.5,85,586,1399
Odonil Bathroom Air Freshener Blocks - 150g (75g*2) | Long Lasting Fragrance,4.2,15259,499,624
"VAH-Kya Bat Hai !! Moment Photo Frame Black Colour Self Adhesive Wall Hanging for Bed Room, Living Room, Birthday, him wit...",4,102,449,1999
"Plus Value Feng Shui Golden Arowana Fish Strong Wealth Symbol & Protects Mishaps, Troubles Vastu Products Home & Office, F...",4.3,423,799,1500
i Creations Personalised Home Name Plate with Golden Acrylic embossed Letters wooden background (9 x 16 Inch),4.5,466,1424,2499
Gesto LED String Lights - 20 Meter Fairy Lights with 360 Degree Light LED Bulb - Waterproof & Bendable Copper LED Serial L...,3.8,1432,320,1999
R Ayurveda Copper Decorative Metal Diya Traditional Diya Urli Tealight Holder Golden Bowl for Floating Flowers and Tea Lig...,3.6,8,229,1599
Air freshener Flowers Block for Bathroom and Toilet 60 gm Each - Pack of 6,2.9,4,195,499
